userid,vertexid,value
1677,306,8.0
951,307,29.0
2170,308,6.0
2037,309,47.0
1083,310,0.0
2053,311,2.0
141,312,18.0
553,313,2.0
690,314,0.0
1865,315,53.0
584,316,20.0
2126,317,13.0
490,318,2.0
899,319,35.0
1735,320,4.0
1239,321,4.0
1683,322,3.0
2255,323,45.0
1012,324,3.0
1482,325,4.0
656,326,1.0
2031,327,24.0
235,328,8.0
2143,329,0.0
629,330,0.0
1625,331,1.0
898,332,1.0
1111,333,0.0
556,334,8.0
1985,335,1.0
1858,336,1.0
1999,337,0.0
1318,338,19.0
1453,339,0.0
2144,340,1.0
559,341,27.0
1891,342,2.0
131,343,0.0
997,344,57.0
1558,345,15.0
1256,346,4.0
1781,347,1.0
1878,348,78.0
95,349,3.0
1303,350,5.0
2142,351,65.0
193,352,11.0
2254,353,8.0
1667,354,1.0
867,355,2.0
187,356,120.0
436,357,9.0
394,358,43.0
1075,359,34.0
1255,360,5.0
2267,361,5.0
1636,362,3.0
381,363,2.0
1995,364,86.0
8,365,35.0
372,366,8.0
353,367,24.0
176,368,0.0
1072,369,1.0
174,370,2.0
1402,371,23.0
44,372,26.0
1428,373,1.0
734,374,83.0
1308,375,33.0
1112,376,13.0
201,377,51.0
762,378,24.0
2043,379,2.0
746,380,3.0
248,381,27.0
665,382,0.0
2064,383,7.0
384,384,8.0
1030,385,0.0
806,386,10.0
1540,387,22.0
600,388,0.0
1624,389,8.0
469,390,15.0
1944,391,13.0
250,392,24.0
1294,393,3.0
1369,394,18.0
1127,395,8.0
1057,396,32.0
754,397,36.0
2218,398,80.0
379,399,8.0
1106,400,8.0
391,401,1.0
1064,402,101.0
1898,403,1.0
1119,404,4.0
393,405,4.0
455,406,17.0
837,407,1.0
575,408,0.0
1184,409,29.0
948,410,56.0
1069,411,1.0
1931,412,0.0
933,413,10.0
1700,414,3.0
1650,415,10.0
316,416,20.0
1018,417,5.0
1235,418,0.0
1556,419,0.0
543,420,24.0
1468,421,1.0
296,422,14.0
1877,423,0.0
1343,424,50.0
1020,425,25.0
346,426,12.0
981,427,2.0
2182,428,5.0
1372,429,38.0
2014,430,24.0
1967,431,41.0
712,432,37.0
197,433,2.0
1364,434,6.0
833,435,6.0
1005,436,4.0
687,437,12.0
1584,438,0.0
1418,439,10.0
987,440,3.0
2158,441,5.0
22,442,10.0
429,443,5.0
335,444,3.0
1836,445,154.0
2087,446,4.0
1139,447,83.0
1448,448,49.0
311,449,8.0
1271,450,10.0
862,451,29.0
1716,452,8.0
704,453,7.0
1465,454,25.0
1457,455,3.0
328,456,1.0
1412,457,6.0
1904,458,11.0
1213,459,0.0
31,460,8.0
17,461,16.0
173,462,12.0
198,463,3.0
1476,464,0.0
881,465,51.0
499,466,0.0
1444,467,7.0
297,468,4.0
2029,469,2.0
71,470,3.0
683,471,3.0
2262,472,11.0
2000,473,2.0
1352,474,0.0
1613,475,12.0
1745,476,1.0
871,477,0.0
1975,478,1.0
1763,479,9.0
1309,480,84.0
1443,481,5.0
2059,482,0.0
2195,483,7.0
927,484,0.0
1818,485,54.0
190,486,7.0
417,487,4.0
1986,488,0.0
1033,489,1.0
786,490,63.0
1504,491,0.0
2223,492,1.0
134,493,13.0
1299,494,9.0
257,495,21.0
295,496,3.0
745,497,0.0
116,498,17.0
1268,499,3.0
83,500,3.0
779,501,16.0
1705,502,16.0
305,503,18.0
992,504,7.0
569,505,1.0
218,506,5.0
1521,507,11.0
478,508,3.0
151,509,83.0
288,510,34.0
1570,511,65.0
1557,512,68.0
2286,513,2.0
448,514,55.0
2007,515,38.0
1091,516,0.0
1855,517,0.0
35,518,16.0
856,519,24.0
1317,520,2.0
1499,521,3.0
1333,522,12.0
2156,523,6.0
472,524,2.0
905,525,0.0
1079,526,21.0
1135,527,112.0
2244,528,14.0
254,529,24.0
2162,530,21.0
1860,531,9.0
459,532,19.0
2145,533,2.0
167,534,1.0
2152,535,0.0
88,536,1.0
2103,537,23.0
1710,538,2.0
128,539,11.0
1404,540,0.0
1389,541,7.0
1327,542,0.0
2177,543,0.0
1041,544,0.0
1177,545,49.0
1046,546,65.0
1676,547,51.0
614,548,15.0
821,549,12.0
1307,550,15.0
1833,551,2.0
1116,552,2.0
1223,553,0.0
1928,554,90.0
1729,555,0.0
291,556,0.0
1545,557,4.0
1576,558,9.0
1544,559,0.0
460,560,130.0
447,561,8.0
958,562,48.0
1143,563,20.0
733,564,39.0
278,565,1.0
636,566,31.0
1815,567,20.0
566,568,10.0
449,569,35.0
1830,570,1.0
1906,571,46.0
921,572,28.0
476,573,2.0
76,574,30.0
627,575,32.0
1905,576,2.0
1956,577,34.0
1060,578,12.0
522,579,5.0
375,580,10.0
1883,581,10.0
175,582,3.0
477,583,26.0
1058,584,1.0
1342,585,59.0
324,586,8.0
2184,587,11.0
790,588,10.0
242,589,40.0
1978,590,9.0
2108,591,65.0
1771,592,3.0
731,593,0.0
2077,594,8.0
504,595,4.0
618,596,68.0
811,597,6.0
1896,598,0.0
515,599,17.0
549,600,1.0
181,601,15.0
2060,602,2.0
1653,603,57.0
608,604,3.0
874,605,27.0
1853,606,2.0
1188,607,5.0
15,608,0.0
186,609,15.0
1474,610,34.0
1336,611,70.0
1211,612,15.0
320,613,17.0
192,614,44.0
1196,615,51.0
2138,616,1.0
443,617,22.0
1104,618,9.0
1731,619,27.0
631,620,1.0
364,621,18.0
1739,622,11.0
237,623,0.0
1295,624,60.0
1548,625,27.0
245,626,2.0
693,627,6.0
1672,628,100.0
725,629,0.0
2154,630,55.0
1227,631,9.0
333,632,1.0
2258,633,67.0
2056,634,14.0
336,635,84.0
1486,636,23.0
1413,637,8.0
785,638,69.0
1200,639,0.0
1668,640,1.0
1937,641,15.0
2091,642,16.0
1913,643,150.0
2055,644,1.0
2155,645,2.0
487,646,18.0
104,647,11.0
896,648,0.0
351,649,13.0
2171,650,36.0
1162,651,23.0
766,652,0.0
1433,653,0.0
63,654,19.0
1640,655,0.0
1585,656,0.0
13,657,77.0
1722,658,0.0
2236,659,25.0
643,660,3.0
277,661,33.0
440,662,2.0
1411,663,2.0
1325,664,20.0
2070,665,2.0
709,666,17.0
511,667,15.0
70,668,63.0
1174,669,1.0
1796,670,10.0
26,671,69.0
855,672,0.0
1706,673,27.0
2150,674,2.0
1840,675,5.0
595,676,5.0
615,677,107.0
1481,678,1.0
2276,679,3.0
1590,680,21.0
453,681,0.0
966,682,17.0
969,683,0.0
1918,684,0.0
1207,685,3.0
69,686,3.0
2062,687,0.0
2073,688,9.0
52,689,8.0
1535,690,3.0
1441,691,1.0
225,692,1.0
2221,693,1.0
2032,694,0.0
2187,695,59.0
995,696,3.0
138,697,0.0
2125,698,20.0
1093,699,0.0
79,700,35.0
408,701,58.0
1517,702,56.0
1253,703,9.0
1647,704,6.0
2205,705,6.0
1762,706,0.0
611,707,4.0
1203,708,44.0
1822,709,35.0
972,710,5.0
155,711,3.0
1319,712,0.0
1390,713,83.0
777,714,1.0
1837,715,19.0
814,716,14.0
344,717,14.0
213,718,1.0
1206,719,14.0
682,720,12.0
1831,721,0.0
1643,722,28.0
418,723,4.0
437,724,0.0
1699,725,79.0
1800,726,12.0
789,727,72.0
20,728,0.0
463,729,7.0
524,730,4.0
2261,731,2.0
877,732,28.0
1026,733,13.0
161,734,50.0
2092,735,13.0
221,736,1.0
67,737,7.0
2273,738,7.0
635,739,1.0
1617,740,33.0
1574,741,7.0
1893,742,7.0
2022,743,4.0
757,744,59.0
405,745,29.0
6,746,2.0
58,747,41.0
1788,748,0.0
928,749,47.0
1077,750,58.0
2266,751,8.0
2292,752,0.0
1637,753,1.0
1245,754,73.0
342,755,18.0
1340,756,5.0
1909,757,6.0
1899,758,1.0
1529,759,14.0
912,760,104.0
2229,761,5.0
1851,762,3.0
1216,763,23.0
1179,764,16.0
764,765,14.0
42,766,13.0
1197,767,11.0
1527,768,107.0
547,769,5.0
964,770,0.0
2100,771,0.0
800,772,3.0
2089,773,6.0
1555,774,0.0
2027,775,0.0
781,776,10.0
1578,777,6.0
1120,778,1.0
1514,779,6.0
1774,780,11.0
92,781,9.0
2280,782,0.0
1302,783,10.0
975,784,8.0
1863,785,0.0
1543,786,5.0
957,787,0.0
732,788,0.0
1814,789,3.0
1405,790,1.0
507,791,28.0
681,792,6.0
396,793,58.0
1997,794,4.0
613,795,8.0
2231,796,5.0
183,797,30.0
103,798,0.0
229,799,8.0
66,800,15.0
73,801,0.0
398,802,2.0
664,803,1.0
1917,804,8.0
2249,805,3.0
1189,806,4.0
91,807,1.0
444,808,16.0
1547,809,38.0
794,810,0.0
546,811,0.0
797,812,4.0
1560,813,1.0
1747,814,0.0
1384,815,8.0
211,816,8.0
1008,817,1.0
294,818,1.0
1960,819,1.0
54,820,0.0
281,821,4.0
730,822,6.0
1938,823,2.0
1265,824,1.0
545,825,17.0
108,826,2.0
641,827,9.0
482,828,142.0
1248,829,3.0
403,830,0.0
1886,831,4.0
1954,832,2.0
1725,833,0.0
577,834,25.0
868,835,8.0
558,836,27.0
1283,837,2.0
518,838,3.0
1549,839,1.0
1396,840,6.0
1932,841,0.0
1537,842,1.0
616,843,2.0
1659,844,44.0
1595,845,0.0
942,846,32.0
2128,847,1.0
1217,848,3.0
1607,849,24.0
2094,850,0.0
425,851,23.0
365,852,79.0
1380,853,11.0
1137,854,11.0
686,855,1.0
525,856,36.0
98,857,17.0
1399,858,6.0
1572,859,0.0
82,860,2.0
1692,861,3.0
666,862,17.0
591,863,0.0
2115,864,8.0
2287,865,18.0
819,866,4.0
1845,867,32.0
2061,868,0.0
2116,869,1.0
612,870,18.0
1180,871,3.0
1573,872,65.0
751,873,1.0
554,874,28.0
1970,875,0.0
266,876,6.0
883,877,24.0
1108,878,0.0
157,879,0.0
2288,880,0.0
823,881,16.0
829,882,0.0
637,883,16.0
93,884,0.0
1742,885,0.0
2148,886,64.0
1117,887,1.0
1875,888,4.0
1368,889,5.0
564,890,5.0
1144,891,1.0
1375,892,2.0
1191,893,34.0
2042,894,9.0
1743,895,48.0
1824,896,1.0
1358,897,0.0
244,898,0.0
438,899,0.0
1881,900,0.0
1737,901,2.0
2049,902,4.0
1542,903,0.0
2140,904,0.0
824,905,11.0
1530,906,0.0
1634,907,12.0
2044,908,14.0
1538,909,12.0
1315,910,32.0
1531,911,2.0
977,912,0.0
796,913,3.0
2198,914,1.0
502,915,21.0
628,916,0.0
1696,917,0.0
640,918,2.0
619,919,0.0
177,920,2.0
1754,921,2.0
812,922,1.0
407,923,1.0
721,924,62.0
707,925,36.0
1861,926,0.0
915,927,0.0
399,928,1.0
540,929,1.0
2085,930,8.0
1204,931,2.0
1610,932,43.0
718,933,26.0
1446,934,1.0
2034,935,0.0
214,936,2.0
990,937,5.0
1868,938,5.0
340,939,3.0
755,940,0.0
2090,941,26.0
1134,942,0.0
2035,943,1.0
1864,944,78.0
419,945,1.0
576,946,1.0
939,947,8.0
1879,948,8.0
484,949,40.0
2124,950,2.0
736,951,2.0
2250,952,64.0
1626,953,17.0
1374,954,3.0
1622,955,0.0
1027,956,3.0
1132,957,12.0
698,958,0.0
16,959,25.0
268,960,1.0
395,961,13.0
1175,962,46.0
207,963,15.0
253,964,0.0
1957,965,1.0
1939,966,14.0
1847,967,16.0
621,968,19.0
1839,969,7.0
39,970,1.0
1301,971,11.0
2230,972,14.0
839,973,0.0
2135,974,49.0
1293,975,16.0
703,976,2.0
784,977,5.0
1588,978,1.0
1107,979,0.0
239,980,1.0
2173,981,3.0
642,982,0.0
887,983,10.0
1786,984,0.0
2020,985,7.0
937,986,0.0
1738,987,0.0
851,988,40.0
2289,989,11.0
148,990,1.0
974,991,31.0
367,992,1.0
1289,993,3.0
724,994,14.0
626,995,15.0
818,996,38.0
2240,997,26.0
1155,998,14.0
2028,999,1.0
1142,1000,0.0
1436,1001,51.0
1770,1002,0.0
383,1003,8.0
1702,1004,29.0
654,1005,0.0
1563,1006,13.0
1285,1007,2.0
903,1008,3.0
312,1009,1.0
1871,1010,9.0
2291,1011,3.0
551,1012,2.0
1284,1013,1.0
1208,1014,12.0
485,1015,6.0
1445,1016,2.0
1760,1017,22.0
1024,1018,1.0
904,1019,1.0
854,1020,42.0
699,1021,0.0
392,1022,9.0
1169,1023,0.0
493,1024,10.0
1887,1025,55.0
1955,1026,12.0
435,1027,1.0
1608,1028,8.0
538,1029,13.0
1410,1030,0.0
1427,1031,7.0
1648,1032,80.0
1946,1033,40.0
1321,1034,30.0
1876,1035,34.0
1761,1036,11.0
943,1037,4.0
727,1038,5.0
2009,1039,1.0
1564,1040,1.0
1212,1041,2.0
1685,1042,1.0
1386,1043,0.0
827,1044,2.0
208,1045,2.0
1095,1046,2.0
2201,1047,12.0
1974,1048,3.0
2180,1049,41.0
759,1050,14.0
2101,1051,100.0
1534,1052,2.0
2275,1053,1.0
1163,1054,2.0
2206,1055,0.0
234,1056,7.0
272,1057,4.0
1477,1058,0.0
2134,1059,26.0
1420,1060,2.0
1329,1061,5.0
357,1062,0.0
1466,1063,2.0
2109,1064,12.0
1783,1065,0.0
1454,1066,28.0
1498,1067,54.0
1806,1068,0.0
479,1069,40.0
940,1070,19.0
321,1071,62.0
219,1072,5.0
1354,1073,0.0
2111,1074,1.0
1605,1075,1.0
1759,1076,0.0
1090,1077,1.0
771,1078,15.0
1259,1079,2.0
1393,1080,9.0
481,1081,1.0
1251,1082,14.0
1122,1083,0.0
2215,1084,41.0
1551,1085,16.0
669,1086,14.0
860,1087,2.0
1305,1088,3.0
503,1089,6.0
919,1090,1.0
210,1091,5.0
870,1092,2.0
1165,1093,10.0
1792,1094,6.0
1641,1095,0.0
1349,1096,5.0
791,1097,144.0
2096,1098,1.0
1371,1099,14.0
852,1100,0.0
1910,1101,2.0
1951,1102,1.0
1004,1103,86.0
1941,1104,7.0
1708,1105,2.0
1811,1106,1.0
1569,1107,1.0
617,1108,0.0
420,1109,6.0
139,1110,3.0
2235,1111,6.0
909,1112,34.0
1922,1113,0.0
889,1114,14.0
1272,1115,9.0
1728,1116,5.0
112,1117,3.0
501,1118,1.0
573,1119,48.0
973,1120,25.0
1971,1121,12.0
457,1122,5.0
891,1123,1.0
1324,1124,16.0
1987,1125,103.0
37,1126,17.0
1,1127,1.0
1361,1128,19.0
432,1129,0.0
650,1130,0.0
466,1131,0.0
28,1132,22.0
61,1133,13.0
692,1134,8.0
1475,1135,16.0
710,1136,44.0
171,1137,1.0
458,1138,11.0
1084,1139,1.0
2165,1140,6.0
2228,1141,3.0
339,1142,25.0
514,1143,75.0
377,1144,45.0
773,1145,30.0
1785,1146,48.0
1715,1147,59.0
953,1148,4.0
763,1149,28.0
2238,1150,1.0
1290,1151,1.0
985,1152,72.0
1873,1153,8.0
2281,1154,44.0
2259,1155,2.0
362,1156,10.0
1779,1157,13.0
760,1158,15.0
100,1159,16.0
2012,1160,2.0
1714,1161,35.0
1161,1162,8.0
1360,1163,2.0
126,1164,0.0
1231,1165,0.0
118,1166,41.0
1559,1167,0.0
662,1168,1.0
2086,1169,0.0
605,1170,18.0
1581,1171,3.0
850,1172,3.0
1320,1173,3.0
743,1174,1.0
1126,1175,4.0
1460,1176,0.0
1523,1177,1.0
1882,1178,9.0
1195,1179,81.0
2080,1180,34.0
1096,1181,11.0
1859,1182,42.0
579,1183,0.0
1370,1184,4.0
1292,1185,33.0
122,1186,0.0
1810,1187,0.0
1236,1188,2.0
265,1189,10.0
516,1190,3.0
1697,1191,2.0
251,1192,40.0
1088,1193,37.0
1071,1194,8.0
2247,1195,1.0
159,1196,26.0
783,1197,45.0
48,1198,11.0
142,1199,17.0
413,1200,62.0
1115,1201,14.0
836,1202,6.0
956,1203,22.0
869,1204,0.0
220,1205,0.0
279,1206,0.0
1260,1207,29.0
189,1208,2.0
1400,1209,5.0
2168,1210,1.0
2011,1211,4.0
1013,1212,58.0
1579,1213,1.0
897,1214,1.0
1456,1215,6.0
544,1216,1.0
541,1217,1.0
325,1218,4.0
978,1219,4.0
512,1220,30.0
2069,1221,4.0
1642,1222,0.0
962,1223,0.0
587,1224,18.0
1567,1225,42.0
1821,1226,4.0
34,1227,0.0
2051,1228,4.0
1493,1229,8.0
1237,1230,10.0
115,1231,12.0
1644,1232,0.0
1594,1233,0.0
2208,1234,4.0
1310,1235,23.0
147,1236,51.0
675,1237,0.0
1296,1238,19.0
363,1239,9.0
227,1240,26.0
1992,1241,8.0
1099,1242,1.0
374,1243,0.0
646,1244,6.0
534,1245,1.0
758,1246,0.0
21,1247,35.0
323,1248,0.0
1209,1249,12.0
441,1250,28.0
1866,1251,16.0
33,1252,8.0
2260,1253,143.0
2270,1254,1.0
1942,1255,47.0
230,1256,11.0
404,1257,12.0
1297,1258,55.0
2151,1259,0.0
249,1260,5.0
744,1261,2.0
1525,1262,2.0
356,1263,1.0
1238,1264,1.0
1040,1265,11.0
1250,1266,6.0
1596,1267,55.0
51,1268,24.0
264,1269,53.0
1497,1270,14.0
1911,1271,0.0
633,1272,1.0
446,1273,12.0
1306,1274,0.0
586,1275,12.0
735,1276,7.0
1171,1277,0.0
1157,1278,27.0
804,1279,0.0
1511,1280,6.0
96,1281,50.0
2199,1282,64.0
1367,1283,1.0
1029,1284,36.0
2127,1285,1.0
866,1286,26.0
944,1287,70.0
805,1288,32.0
917,1289,80.0
645,1290,26.0
1515,1291,0.0
2257,1292,72.0
1461,1293,4.0
1125,1294,10.0
1678,1295,9.0
2019,1296,15.0
1429,1297,4.0
1562,1298,5.0
1718,1299,59.0
1965,1300,8.0
847,1301,11.0
1592,1302,2.0
1160,1303,1.0
2203,1304,0.0
793,1305,2.0
1279,1306,32.0
1748,1307,1.0
1962,1308,106.0
599,1309,5.0
602,1310,13.0
1172,1311,11.0
2189,1312,11.0
127,1313,0.0
1275,1314,43.0
752,1315,0.0
1350,1316,9.0
370,1317,13.0
247,1318,0.0
795,1319,9.0
1469,1320,19.0
442,1321,10.0
2167,1322,2.0
568,1323,58.0
1894,1324,13.0
38,1325,41.0
262,1326,2.0
1773,1327,2.0
1291,1328,27.0
1121,1329,25.0
1880,1330,4.0
1775,1331,10.0
1765,1332,3.0
146,1333,28.0
2095,1334,35.0
1382,1335,4.0
341,1336,21.0
1028,1337,6.0
133,1338,5.0
2274,1339,2.0
954,1340,5.0
1118,1341,1.0
1577,1342,12.0
1620,1343,12.0
1316,1344,19.0
1407,1345,0.0
1458,1346,0.0
2114,1347,21.0
2245,1348,6.0
1464,1349,0.0
949,1350,39.0
2163,1351,1.0
879,1352,3.0
2040,1353,5.0
530,1354,52.0
2278,1355,57.0
41,1356,12.0
2106,1357,16.0
40,1358,12.0
961,1359,28.0
111,1360,10.0
136,1361,28.0
1073,1362,14.0
352,1363,19.0
1526,1364,60.0
293,1365,21.0
1049,1366,11.0
1080,1367,26.0
1940,1368,0.0
307,1369,14.0
1649,1370,16.0
2081,1371,14.0
168,1372,32.0
1341,1373,36.0
12,1374,9.0
90,1375,60.0
2256,1376,0.0
1772,1377,15.0
1993,1378,48.0
306,1379,18.0
303,1380,0.0
1867,1381,33.0
908,1382,5.0
1480,1383,86.0
2179,1384,8.0
848,1385,37.0
119,1386,2.0
1852,1387,0.0
1437,1388,8.0
1166,1389,12.0
902,1390,3.0
1220,1391,38.0
1680,1392,24.0
1081,1393,1.0
1798,1394,6.0
397,1395,1.0
355,1396,1.0
1720,1397,2.0
570,1398,17.0
1176,1399,1.0
588,1400,1.0
1362,1401,10.0
2234,1402,38.0
831,1403,65.0
910,1404,62.0
222,1405,25.0
1450,1406,0.0
768,1407,11.0
548,1408,3.0
361,1409,58.0
563,1410,48.0
1764,1411,4.0
1098,1412,46.0
389,1413,0.0
1532,1414,26.0
292,1415,6.0
32,1416,5.0
1619,1417,3.0
2252,1418,0.0
774,1419,0.0
1288,1420,3.0
217,1421,18.0
1508,1422,11.0
1736,1423,12.0
1611,1424,33.0
1826,1425,27.0
935,1426,31.0
934,1427,5.0
1430,1428,2.0
81,1429,15.0
1884,1430,18.0
330,1431,14.0
283,1432,8.0
1339,1433,2.0
1701,1434,31.0
2248,1435,6.0
691,1436,3.0
289,1437,56.0
424,1438,23.0
1892,1439,0.0
77,1440,35.0
2200,1441,13.0
2169,1442,37.0
1381,1443,12.0
261,1444,1.0
729,1445,0.0
89,1446,1.0
185,1447,2.0
310,1448,8.0
2264,1449,30.0
1241,1450,1.0
422,1451,7.0
932,1452,4.0
273,1453,3.0
1684,1454,69.0
679,1455,21.0
2157,1456,3.0
1149,1457,0.0
1528,1458,4.0
2121,1459,50.0
2166,1460,18.0
658,1461,4.0
963,1462,1.0
792,1463,42.0
85,1464,3.0
1039,1465,23.0
1671,1466,1.0
497,1467,8.0
1471,1468,16.0
412,1469,3.0
11,1470,11.0
1733,1471,8.0
1150,1472,33.0
274,1473,19.0
2015,1474,17.0
1221,1475,23.0
4,1476,8.0
1447,1477,38.0
30,1478,40.0
2213,1479,2.0
1141,1480,17.0
1749,1481,16.0
1713,1482,77.0
2041,1483,0.0
1286,1484,2.0
931,1485,7.0
1233,1486,24.0
154,1487,0.0
106,1488,0.0
1228,1489,9.0
1042,1490,0.0
471,1491,31.0
965,1492,127.0
1408,1493,9.0
1021,1494,1.0
152,1495,0.0
144,1496,0.0
748,1497,0.0
2074,1498,6.0
203,1499,15.0
287,1500,1.0
1920,1501,5.0
2174,1502,1.0
1066,1503,1.0
1280,1504,4.0
2119,1505,34.0
1923,1506,57.0
565,1507,17.0
1689,1508,25.0
1669,1509,3.0
1902,1510,2.0
701,1511,1.0
1249,1512,71.0
1979,1513,49.0
358,1514,9.0
1062,1515,20.0
1673,1516,1.0
609,1517,9.0
1666,1518,8.0
241,1519,35.0
901,1520,32.0
349,1521,4.0
672,1522,10.0
1633,1523,1.0
2002,1524,13.0
1158,1525,3.0
2067,1526,1.0
406,1527,8.0
2098,1528,58.0
2283,1529,0.0
1835,1530,8.0
2001,1531,51.0
2068,1532,26.0
2214,1533,0.0
922,1534,5.0
1952,1535,24.0
892,1536,5.0
2137,1537,16.0
1000,1538,5.0
807,1539,68.0
2220,1540,11.0
259,1541,12.0
952,1542,4.0
960,1543,8.0
1045,1544,12.0
1651,1545,4.0
1778,1546,1.0
644,1547,36.0
464,1548,2.0
1278,1549,2.0
1953,1550,3.0
1925,1551,9.0
1582,1552,0.0
842,1553,1.0
1790,1554,40.0
1092,1555,75.0
2194,1556,35.0
156,1557,7.0
117,1558,35.0
2130,1559,33.0
9,1560,41.0
882,1561,7.0
1949,1562,59.0
1756,1563,1.0
582,1564,5.0
166,1565,0.0
1593,1566,2.0
2210,1567,0.0
941,1568,6.0
